,cq,baseline,plateau,slope,inflection,asymmetry,drift,CurveCall
201039,38.486391102029,19.115757786653,45.137993345577,-0.44355993314897,34.422537038228,5.5,0.15594545872096,True
15354,49.374223375498,25.307278002632,26.712751184969,-1.1425591393531,47.796569515159,5.5,0.065692614891274,False
259433,,18.213681647867,36.424070179546,-0.62618371415141,60.0,0.5,-0.0066372609363046,False
26370,48.545302876482,19.197940795085,33.625558257115,-0.50362329012689,44.966114081594,5.5,0.10352098234848,False
349917,44.504264014747,13.320918286713,30.830330028865,-0.34824760775092,40.589711154356,4.2216767506962,0.01403299347067,False
85642,38.773689553383,18.104259946138,37.796072852418,-0.42450312326757,34.527400802922,5.5,0.087375038152921,True
109599,8.5880511168104,14.118796411047,17.210837257412,-0.17825969317887,30.504899092579,0.5,0.066030467958046,False
23322,38.791997699754,16.951615827601,36.23969245257,-0.41661793331553,34.465340845304,5.5,0.073489957368223,True
336263,38.304813808857,13.328981695778,30.330264929109,-0.42971183647852,34.109996063926,5.5,-0.013937508250764,True
214007,37.92641799968,22.348017424139,44.763038034867,-0.45111692288721,33.930640529551,5.5,0.024325869127487,True
163822,3.1284169383151,22.787143429885,25.772114529993,-0.099375582661577,0.0,2.3449024808736,0.052704873084674,False
54584,39.014034869987,29.1089792779,53.89544743898,-0.46927379865783,35.172859756392,5.5,0.0044016471589263,True
266339,38.888862901872,17.040255970117,36.400661281851,-0.39493775797316,34.324693484094,5.5,0.044629643718235,True
201052,48.635266134287,25.480066463009,41.951426232143,-0.98061840891935,50.063118112255,1.0731471221109,0.026340490308614,False
455365,44.831772237289,13.563099985475,25.899365184145,-0.54852742924913,44.713885351808,2.0660513086036,0.024112034571934,False
240329,,15.809502653971,27.82081572024,-0.53614290295757,47.276995290814,5.5,0.034510688813552,False
214693,30.726989012268,20.498253195804,21.552679878622,-0.15869528714638,19.655002654621,5.3490741589728,0.010104237699052,False
163814,47.143090476299,27.115486860529,50.439744482578,-0.60104904491978,44.591704226888,4.672088079851,0.098127989407486,False
30123,38.3362019828,18.17889084826,37.534600310326,-0.46048597328519,34.421722625249,5.5,0.053543471046036,True
