,cq,baseline,plateau,slope,inflection,asymmetry,drift
94952,39.287693786269,18.919028000541,39.605575292545,-0.42856566147825,35.081657234836,5.5,0.054076388837841
162013,38.877373171019,17.050833615137,36.838121639876,-0.44309652669244,34.809268980895,5.5,0.028525142051451
22946,4.1953551004352,13.469611239075,24.290020248108,-0.10312219317171,42.081385987144,0.5,-0.084263014469789
24796,,27.130949223996,28.231846517771,-0.01,41.08001854971,1.0814967104916,0.058650998288873
15137,44.767309395787,19.613493786379,41.719724728818,-0.47992617263284,41.011392465943,5.5,0.038288017262793
336250,23.699468587384,20.833454496989,36.400345302316,-0.057098011641914,0.0,4.1967164568408,-0.14899960680251
94111,49.258301023813,21.903628769388,29.527260732831,-0.8543841564444,47.148520753111,5.5,0.11731444513894
149864,,22.371307059067,31.62985943213,-0.089870263984969,46.872876786533,5.5,0.019392092791911
30021,45.718329979674,22.431446431448,38.495831595156,-0.94876291832134,47.860925863114,0.85170171610406,0.042911803471178
25101,24.131033231213,20.109137940318,25.211654252679,-0.074698949671791,0.0,5.5,0.04243875685413
243203,19.711418222736,14.005250251612,35.584569805187,-0.027315245910099,0.0,2.6463348999438,-0.076017363514806
120711,49.790244959503,30.119468215176,32.099306721131,-2.0933982381607,48.929174760815,5.5,0.019862893487663
149438,21.649850214133,18.95781172517,20.51532659035,-0.24162063142227,14.189548391991,5.5,0.0040269960883356
98868,39.603331503224,16.300276400865,32.381972332203,-0.42957229372644,35.407151108931,5.5,0.083477992062473
